,FH
2023-08-29 15:07:30,34.387226
2023-08-29 15:07:45,34.491985
2023-08-29 15:08:00,34.426838
2023-08-29 15:08:15,34.453114
2023-08-29 15:08:30,34.48883
2023-08-29 15:08:45,34.44719
2023-08-29 15:09:00,34.510597
2023-08-29 15:09:15,34.435966
2023-08-29 15:09:30,34.487404
2023-08-29 15:09:45,34.44856
2023-08-29 15:10:00,34.502712
2023-08-29 15:10:15,34.490826
2023-08-29 15:10:30,34.50596
2023-08-29 15:10:45,34.414444
2023-08-29 15:11:00,34.469223
2023-08-29 15:11:15,34.539658
2023-08-29 15:11:30,34.50086
2023-08-29 15:11:45,34.42386
2023-08-29 15:12:00,34.451492
2023-08-29 15:12:15,34.462555
2023-08-29 15:12:30,34.495617
2023-08-29 15:12:45,34.49914
2023-08-29 15:13:00,34.424057
2023-08-29 15:13:15,34.54178
2023-08-29 15:13:30,34.445137
2023-08-29 15:13:45,34.508705
2023-08-29 15:14:00,34.49297
2023-08-29 15:14:15,34.50866
2023-08-29 15:14:30,34.407635
2023-08-29 15:14:45,34.441856
2023-08-29 15:15:00,34.48068
2023-08-29 15:15:15,34.46339
2023-08-29 15:15:30,34.452873
2023-08-29 15:15:45,34.482372
2023-08-29 15:16:00,34.48613
2023-08-29 15:16:15,34.452293
2023-08-29 15:16:30,34.488796
2023-08-29 15:16:45,34.478756
2023-08-29 15:17:00,34.37323
2023-08-29 15:17:15,34.41581
2023-08-29 15:17:30,34.4041
2023-08-29 15:17:45,34.487465
2023-08-29 15:18:00,34.47792
2023-08-29 15:18:15,34.489517
2023-08-29 15:18:30,34.482418
2023-08-29 15:18:45,34.416935
2023-08-29 15:19:00,34.40498
2023-08-29 15:19:15,34.50038
2023-08-29 15:19:30,34.48759
2023-08-29 15:19:45,34.42795
2023-08-29 15:20:00,34.462658
2023-08-29 15:20:15,34.44654
2023-08-29 15:20:30,34.427116
2023-08-29 15:20:45,34.428696
2023-08-29 15:21:00,34.484238
2023-08-29 15:21:15,34.481304
2023-08-29 15:21:30,34.452374
2023-08-29 15:21:45,34.408043
2023-08-29 15:22:00,34.40956
2023-08-29 15:22:15,34.50901
2023-08-29 15:22:30,34.50698
2023-08-29 15:22:45,34.457523
2023-08-29 15:23:00,34.466812
2023-08-29 15:23:15,34.46338
2023-08-29 15:23:30,34.413513
2023-08-29 15:23:45,34.436012
2023-08-29 15:24:00,34.478683
2023-08-29 15:24:15,34.443085
2023-08-29 15:24:30,34.410324
